"mat_alu","nome","dat_entrada","cod_curso","cotista"
98724,"AECIO JACIRA SOUSA - TESTE","2007-05-07",13,"N"
107149,"MARA ALVES MELO","2008-06-28",13,"N"
107008,"LUAN BRITO SANTOS - TESTE","2008-01-11",123,"N"
105073,"MARCELLE DOURADO OLIVEIRA - TESTE","2007-06-04",35,"N"
137104,"CRISTIANA OLIVEIRA","2009-11-27",4,"N"
105397,"LUIZ JEAN","2010-05-03",44,"N"
107564,"LARISSA JOSE RODRIGUES - TESTE","2010-02-21",13,"N"
137861,"MARIANA BATISTA SANTANA - TESTE","2010-04-19",4,"N"
107535,"ALA DAYARA SANTOS - TESTE","2007-06-28",4,"N"
148688,"ELIZABETH KARINA REIS - TESTE","2009-08-20",13,"N"
106869,"JULYANE HELVECIO SANTANA - TESTE","2009-10-22",123,"N"
142592,"LUDYMILA ALMEIDA REGINA","2008-08-07",13,"N"
107679,"LUCIANA ALVES RODRIGUES VILELA - TESTE","2010-02-22",4,"N"
105008,"RODRIGO CARVALHO SANTOS - TESTE","2010-05-06",4,"N"
120062,"OSVALDO EMIDIO RODRIGUES - TESTE","2008-06-14",52,"N"
104882,"OLGA ARAUJO LIMA VASCONCELOS - TESTE","2009-11-02",13,"N"
108291,"FABIANA FERNANDA RIBEIRO - TESTE","2010-01-07",13,"N"
107630,"LAZARO CUNHA OLIVEIRA - TESTE","2010-05-31",35,"N"
105119,"JESSICA CONCEICAO NASCIMENTO - TESTE","2010-04-21",35,"N"
120408,"RAFAEL ANDRADE DANIELLY SANTOS - TESTE","2009-09-12",4,"N"
107148,"CARLOS CALHEIROS OLIVEIRA - TESTE","2010-05-21",13,"N"
107288,"RODRIGO MARTINS","2002-03-09",123,"N"
107637,"ALLANA CHAVES MAGNO SOARES - TESTE","2009-12-05",44,"N"
105110,"PAULA ALMEIDA EDUARDO RIBEIRO - TESTE","2011-03-17",35,"N"
150806,"RAFAELLA DAYSE PEREIRA - TESTE","2009-06-01",35,"N"
115481,"CRISTIANA ALEXANDRE GONCALVES SANTOS - TESTE","1993-11-11",4,"N"
112406,"MARIANA COSTA MORAIS","2009-12-28",4,"N"
112440,"VINICIUS CHAVES RODRIGUES - TESTE","2010-04-10",35,"N"
112114,"WANETTE GODINHO PASSOS - TESTE","2007-09-28",4,"N"
104919,"CILEIA JESUS SANTOS - TESTE","2001-12-01",52,"N"
127289,"JOSEVAN KANEGUSUKE SILVA - TESTE","2005-01-21",44,"N"
149411,"CAMILLE BARRETO MENEZES","2009-10-16",4,"N"
154002,"CAMILLA AUGUSTO LEITE SILVA - TESTE","2009-09-20",4,"N"
105031,"GUILHERME GOIS SALES - TESTE","2009-12-30",4,"N"
104970,"KLEITON BARRETO SANTOS - TESTE","2010-02-27",4,"N"
156023,"AGNES LIMA SILVA - TESTE","2008-09-24",4,"N"
149730,"FELIPE DAMASCENO LIMA - TESTE","2011-08-19",13,"N"
107107,"JULIANA LIRA SOARES - TESTE","2007-04-28",13,"N"
104826,"DYEGO DUARTE OLIVEIRA - TESTE","2010-07-03",13,"N"
109427,"KARLA CALDAS PRADO","2008-10-31",44,"N"
108977,"ALEXANDRA CARLA MOREIRA - TESTE","2005-06-12",4,"N"
101648,"SHEYLLA COSTA RICARDO - TESTE","2004-08-26",123,"N"
99415,"MEYLING ALMEIDA NASCIMENTO - TESTE","2008-09-11",4,"N"
99418,"CARINE CONCEICAO ROLEMBERG - TESTE","2007-10-02",13,"N"
97518,"MARCIO DIOGO QUEIROZ - TESTE","2006-12-31",35,"N"
153068,"ROBERTO MANUELA SANTANA - TESTE","2009-08-28",13,"N"
101894,"THIAGO BOMFIM LUIS PEREIRA - TESTE","2003-09-01",4,"N"
100578,"JOSE BATISTA LOPES SILVA - TESTE","2010-03-16",13,"N"
97606,"PEDRO MARTINS SILVA - TESTE","2007-01-06",123,"N"
98314,"PAMELA ANDRADE JESUS","2008-04-17",13,"N"
98325,"FERNANDA BEZERRA REGINA VICTOR - TESTE","2005-03-16",4,"N"
125651,"JOSELI ALVIM OLIVEIRA TAVARES - TESTE","2000-02-04",103,"N"
127309,"ALEXANDRE CARVALHO KATIA SOARES - TESTE","2005-09-09",103,"N"
152103,"CHRISTIANO QUINTELA SOUZA - TESTE","2009-01-06",13,"N"
92550,"YURI ARGOLO COSTA SANTOS - TESTE","2007-07-26",123,"N"
97548,"MILENA CONCEICAO MACEDO SANTOS - TESTE","2007-05-21",4,"N"
99843,"THIAGO DIAS RAFAELLA - TESTE","2002-07-07",4,"N"
101672,"GABRIELA MOTA TRINDADE - TESTE","2008-12-02",123,"N"
116997,"CIBELE CONCEICAO OLIVEIRA - TESTE","2011-03-24",44,"N"
107570,"KIWIA ALVES GUSMAO SANTOS - TESTE","2008-12-10",13,"N"
98677,"ORESTES JESUS PEREIRA - TESTE","2008-10-21",4,"N"
97499,"LAISE LIMA","2005-09-19",44,"N"
97543,"MURIEL ALMEIDA HALANNA","2009-06-08",13,"N"
120755,"TEREZA CLEIDE SANTOS - TESTE","2002-03-26",4,"N"
99494,"INGRID ARAGAO NASCIMENTO","2009-05-08",13,"N"
127350,"THIAGO MELO SILVA - TESTE","2008-06-05",4,"N"
112123,"LARISSA COSTA RODRIGUES - TESTE","2008-06-28",4,"N"
97560,"PAULO CORREIA SANTOS - TESTE","2007-03-10",13,"N"
98431,"MARIA DILMA LUZIA","2004-06-17",44,"N"
98480,"FERNANDA LUIZ","2009-05-04",13,"N"
101505,"ALESSANDRA ALVES OLIVEIRA","2008-03-17",4,"N"
95213,"JESSICA ALAN LOPES SOUZA - TESTE","2007-09-22",123,"N"
97617,"ELEN CRISTINA SILVA - TESTE","2007-05-09",35,"N"
96779,"ELLEN ELIAS PORTO SIEGFRIEDT - TESTE","2008-12-08",44,"N"
155403,"JORGE LUIZ PRAZERES - TESTE","1984-08-21",13,"N"
95162,"THAMIRES MACENA SATIRO - TESTE","2008-12-02",4,"N"
96791,"CRISTIANO DIAS OLIVEIRA - TESTE","1999-05-29",4,"N"
100412,"AMANDA JESUS SANTOS - TESTE","2009-10-09",13,"N"
152764,"KARLISON LIMA RODRIGUES","2007-11-27",4,"N"
100756,"DESIREE JUBERT SILVA - TESTE","2009-04-14",44,"N"
113600,"EDIJALMA COSTA MARCELO SILVA - TESTE","2006-07-25",35,"N"
100630,"EWANES JOSE SOBRAL - TESTE","2008-12-30",35,"N"
115509,"CARLOS MATOS SILVEIRA - TESTE","1998-03-21",4,"N"
103439,"ANTONELLA HENRIQUES PAIXAO","2007-12-28",44,"N"
100524,"TENISSON ARAUJO NASCIMENTO","2001-02-01",4,"N"
100781,"CINDY CARVALHO SANTOS - TESTE","2008-11-06",44,"N"
103425,"MARX APARECIDA LYRA","1997-04-12",4,"N"
147713,"MARCIA GOES SALETE - TESTE","2007-11-18",44,"N"
99194,"SALVIO FRAGA NEPOMUCENO SILVA - TESTE","1980-11-22",4,"N"
114482,"ROBERTA DANTAS VIEIRA - TESTE","2009-08-13",4,"N"
95348,"THAIANE DINAS PATRICIA","2009-08-22",44,"N"
107355,"GUSTAVO LEMOS SANTOS - TESTE","2009-05-09",4,"N"
96249,"SERGIO GHIGGI PRADO - TESTE","2010-02-22",123,"N"
97514,"ZILKA FEITOSA SANTOS - TESTE","2009-06-20",13,"N"
139899,"JESSICA ALVES JESUS","2010-01-08",13,"N"
98573,"KAMILLA BITTENCOURT PASSOS - TESTE","2008-08-31",35,"N"
98587,"THAYNAN GAMA SANTOS - TESTE","2006-01-07",4,"N"
97540,"WALBER MOURA SANTOS - TESTE","2000-11-07",123,"N"
98517,"DJANE AZEVEDO MARIA","2008-11-22",13,"N"
90790,"WINNIE GOES SILVA - TESTE","2008-04-19",4,"N"
97577,"VIVIANNE AMORIM NUNES SERGIO - TESTE","2008-04-30",13,"N"
97612,"RODRIGO BISPO PEREIRA SILVEIRA - TESTE","2007-05-17",52,"N"
98456,"LUIZ BARBOSA OLIVEIRA - TESTE","1996-06-09",4,"N"
103347,"AILLA COSTA RIBEIRO - TESTE","2008-10-12",44,"N"
95251,"CRISTIANO CORREIA PEREIRA - TESTE","1999-11-12",123,"N"
103695,"WALLACE CARVALHO ROSENDO","2009-02-19",13,"N"
100891,"DENISE COSTA PAIS SOUZA - TESTE","2004-09-24",4,"N"
137224,"SARA BRITO LOLA - TESTE","2009-01-12",13,"N"
103891,"VANILDO BERNARDINO LIMA SANTOS - TESTE","1974-11-03",4,"N"
101604,"CAMILLA AVILA SILVA - TESTE","2008-01-02",123,"N"
103194,"LORENZA NASCIMENTO","2009-05-19",123,"N"
103622,"CATIELMA ALVES NASCIMENTO","2009-11-12",35,"N"
150513,"ALISSON FARIA OLIVEIRA - TESTE","2010-07-05",52,"N"
102039,"ANDREA CARDOSO SILVA - TESTE","1998-12-15",44,"N"
103587,"LAURA DAROLD QUEZIA - TESTE","2004-05-19",123,"N"
125450,"NAYARA ELISSANDRA OLIVEIRA - TESTE","2009-05-22",44,"N"
107338,"CELIA RAISSA","1988-07-21",4,"N"
116992,"ANNA GABRIELLA SEEMANN - TESTE","2010-06-26",13,"N"
104613,"CARMEM GARCIA OLIVEIRA VICENTE - TESTE","1988-08-18",35,"N"
98349,"SHIRLEY CONCEICAO MENDONCA","2005-04-29",44,"N"
99633,"HEIDY AMARAL ROCHA","2008-08-07",13,"N"
103246,"MARIANA JESUS SOUZA - TESTE","2009-01-11",13,"N"
92358,"LUCELIA JUNIOR","2003-08-28",44,"N"
127489,"THIARA CAROLINE REGINNE SILVA - TESTE","2004-03-25",44,"N"
95501,"VIVIANE FREITAS SILVA - TESTE","2006-10-27",44,"N"
100561,"MAX NETA","2006-04-11",4,"N"
103736,"JOSE GICELDA OLIVEIRA - TESTE","2003-10-11",4,"N"
108509,"ANTONIO CARLOS LOISE","2009-04-26",13,"N"
112155,"MARILIA FONTES REIS - TESTE","2008-01-03",13,"N"
102050,"DAIANNY KARLA SANTOS - TESTE","2008-11-07",44,"N"
114430,"ROBSON LIDIANE","1991-12-04",123,"N"
94467,"FRANCISCO FREIRE SANTOS - TESTE","2009-07-04",13,"N"
103397,"OSMAR ALVARES SILVA - TESTE","2004-03-18",13,"N"
102089,"CLEVERTON LOPO RIBEIRO - TESTE","2006-10-29",4,"N"
115521,"JESSICA LINO RONALD - TESTE","2008-10-20",44,"N"
100612,"RACHEL GUIMARAES ROBERTO - TESTE","2006-08-09",35,"N"
103556,"OSVALDO LEITE SANTOS - TESTE","2009-07-22",4,"N"
103679,"ALISSON DANILO SILVA - TESTE","2006-08-27",35,"N"
93076,"FRANKLIN JUNIOR SILVEIRA - TESTE","2005-08-31",4,"N"
101018,"IASMIN JUNIOR SANTANA - TESTE","2007-11-18",4,"N"
102835,"IVAN ALMEIDA SANDRO - TESTE","2006-11-04",52,"N"
97589,"CAMILA OLIVEIRA - TESTE","2008-10-18",13,"N"
126626,"THIAGO DANIELLY RODRIGO - TESTE","2008-12-04",4,"N"
102087,"ISABELLY FILHO SANTOS - TESTE","2008-06-27",4,"N"
103040,"GEORGE FREIRE SANTANA VANDERLEY - TESTE","2000-02-21",35,"N"
101934,"JESSICA COSTA MOREIRA","2007-11-30",44,"N"
101592,"THAIS FREITAS SACRAMENTO - TESTE","2007-05-18",123,"N"
100154,"CARLOS ALMEIDA LIMA REZENDE - TESTE","2008-04-07",4,"N"
111427,"ANDRE ANTONIO LIMA SILVEIRA - TESTE","2008-07-12",103,"N"
101582,"CACIA ANDRADE NUNES TELES - TESTE","2009-09-18",123,"N"
101573,"ANTONIO ANDRADE","1978-10-07",123,"N"
127256,"DANIELLE BARROS ROCHA","2004-12-27",44,"N"
91085,"DEBORA FANTIM OLIVEIRA SILVA - TESTE","2007-10-21",4,"N"
115311,"DANYELLE ALMEIDA CRUZ SANTOS - TESTE","1995-03-27",13,"N"
125116,"ALICE BRITO LISBOA REGINA - TESTE","2008-07-05",44,"N"
102387,"DERNICLESIA MEDEIROS SANTOS - TESTE","2000-09-27",123,"N"
101523,"ANA BARRETO OLIVEIRA","2009-04-30",44,"N"
125797,"KAROLINNE LEITE SOBRAL - TESTE","2009-04-01",4,"N"
126595,"INAYAN CAMILA LEITAO","2007-03-28",44,"N"
107206,"MONIQUE FARIAS MESQUITA","2011-04-01",4,"N"
151922,"RACHEL AMANDA MATOS SILVA - TESTE","2008-06-14",103,"N"
102289,"ALINE APARECIDA GARDENIA","2004-07-13",4,"N"
99798,"ALBERTO ARAGAO MAGNO","2008-07-09",44,"N"
100776,"FLAVIA LIMA SANTANA - TESTE","2000-04-16",44,"N"
100791,"JAKELYNE LORDELO SANTOS - TESTE","2006-07-09",44,"N"
106913,"JAMILLE COSTA PEREIRA VIEIRA - TESTE","2009-09-26",13,"N"
138251,"ALESSANDRA ARGOLO SILVA - TESTE","2007-06-19",13,"N"
104810,"RAYSSA OLIVEIRA SOUZA - TESTE","2010-05-19",13,"N"
100770,"MARCIO CONCEICAO OLIVEIRA","1999-09-18",44,"N"
100665,"SANDRA LIMA PEQUENO - TESTE","1992-06-10",13,"N"
104829,"VICTOR CORREIA NATHAN - TESTE","2009-10-18",13,"N"
104949,"MATEUS DULTRA MATIAS SOUZA - TESTE","2009-12-22",4,"N"
106930,"DANILLO JUNIOR SANTOS - TESTE","2008-10-05",123,"N"
99778,"DIEGO ARAUJO SILVA - TESTE","2009-01-13",13,"N"
102755,"ROBERTO ARAUJO LEAO - TESTE","1979-02-25",4,"N"
101481,"LUCAS FILHO SANTOS - TESTE","2006-09-21",4,"N"
100652,"MARCELO FONTES NOBREGA - TESTE","2009-03-29",35,"N"
104818,"YAN BENICIO NAIARA - TESTE","2010-04-08",13,"N"
104877,"RAFAELA ISMERIM SANTOS - TESTE","2009-08-10",13,"N"
105051,"MOISES BOMFIM LUISA","1983-04-30",4,"N"
139737,"PALENA GOMES NUNES","2008-04-01",4,"N"
113485,"IGOR CRUZ ROCHA - TESTE","2010-02-07",35,"N"
99198,"ROMILDO CERQUEIRA JUNIOR REIS - TESTE","2007-08-14",4,"N"
103206,"WALTER GILMAR NOGUEIRA","1992-05-01",4,"N"
96010,"ROSANE MOURA SOUZA - TESTE","2007-02-09",44,"N"
103344,"MARCELO MOURA SANTOS - TESTE","2002-08-23",4,"N"
146678,"THIAGO CAROLYNE PEREIRA","2005-10-21",35,"N"
102097,"EDSON COSTA LIMA - TESTE","2009-02-26",13,"N"
109337,"JULIANA GONCALVES OLIVEIRA - TESTE","2009-05-06",13,"N"
156152,"ELENICE JONATHAN REIS - TESTE","2007-09-10",4,"N"
100583,"ELITON DANIELLY NUNES - TESTE","2008-09-23",52,"N"
102736,"ANA BARBOSA NOGUEIRA","1984-12-02",4,"N"
104869,"ITALO CAROLINA MATHEUS SILVA - TESTE","2010-08-14",13,"N"
103716,"ALANA KARINY SOUZA - TESTE","2009-07-19",123,"N"
103725,"MARIA COUTINHO MATOS PEREIRA - TESTE","2009-11-22",4,"N"
103663,"FLAVIA JUREMA RAMOS VIEIRA - TESTE","2007-03-10",13,"N"
116330,"CISSA BARBOZA HENRIQUE SILVA - TESTE","2009-06-09",13,"N"
105017,"BRUNO MELLO SOUZA - TESTE","2010-03-29",4,"N"
101905,"THIAGO GOIS SANTOS VIVIAN - TESTE","2009-03-06",4,"N"
99937,"WYANA ARAGAO PEIXOTO","2004-05-24",35,"N"
106756,"JOSAN FERREIRA SANTOS - TESTE","2007-07-15",4,"N"
107003,"IGOR CABRAL OLIVEIRA TANAJURA - TESTE","2003-12-29",123,"N"
100761,"MARIA CARVALHO OLIVEIRA","2008-06-10",44,"N"
100772,"ANA LIMA RUTH - TESTE","1999-05-19",44,"N"
103592,"JOSE ARAUJO MENDONCA TERESA - TESTE","2003-10-13",4,"N"
126199,"JORGE CHAGAS SANTOS WALLACE - TESTE","2010-05-22",13,"N"
101373,"GLASDTON BRITO LAURA VIEIRA - TESTE","2005-05-31",4,"N"
138792,"DHANNIRES CARVALHO REZENDE - TESTE","2010-05-25",13,"N"
108159,"DAISY APARECIDA QUEIROZ","2001-12-12",35,"N"
100702,"ANTONIO COSTA KAKUDA","1991-09-21",4,"N"
100547,"ADRIANA FRADE","1998-08-19",4,"N"
125908,"MARIA ALEXANDRE HENRIQUE SILVA - TESTE","2008-08-28",4,"N"
126648,"MARCOS PORTUGAL VASCONCELOS - TESTE","1992-01-02",4,"N"
102379,"ANA ANDRADEE GUEDES SILVEIRA - TESTE","1997-07-08",44,"N"
105299,"CAROLINA NASCIMENTO SOUZA - TESTE","2009-04-13",44,"N"
107628,"JESSICA DIAS SANTOS VINICIUS - TESTE","2009-07-30",13,"N"
104800,"ANA LARISSA SANTOS - TESTE","2010-04-29",13,"N"
151008,"JORGE AGUIAR MANOEL SALGADO - TESTE","2009-10-06",35,"N"
104866,"ALICE ASSIS FEITOSA SERTAO - TESTE","2007-01-08",13,"N"
104881,"DANILO CORREIA MENDONCA - TESTE","2010-08-22",13,"N"
107648,"LUCAS FERNANDES SANTOS - TESTE","2010-04-12",4,"N"
107064,"RAVELLY JOSEFINA MENEZES SOUSA - TESTE","2009-02-20",13,"N"
151280,"ANDRESS SANTANA - TESTE","2010-05-12",4,"N"
104799,"IURI DANTAS MOTA","2009-12-17",13,"N"
100682,"JESSICA OLIVEIRA","2010-05-03",13,"N"
108490,"RAFAELA CAMILA MORAIS","2010-02-01",4,"N"
109272,"DANILO BATISTA PEREIRA","1998-11-17",123,"N"
151166,"CRISTIANO CABRAL ROQUE - TESTE","2004-05-27",103,"N"
101586,"FELIPE FELIX ROCHA - TESTE","2008-11-02",123,"N"
108549,"CARLOS ALBERTO JOSE SOBRAL - TESTE","2000-07-12",4,"N"
108699,"CAUAN ANDRADE ROCHA - TESTE","2009-12-08",4,"N"
116446,"ELORA MENDONCA RODRIGUES - TESTE","2009-11-09",13,"N"
109018,"RONALDO LUCAS SMITH - TESTE","1995-05-13",4,"N"
114645,"ROBERTA MENDES","2002-04-27",103,"N"
108513,"TIAGO ALMEIDA LOPES","2010-10-09",35,"N"
111097,"IVALDO ADRIANA FABRICIO","1997-09-10",123,"N"
110099,"ROMERITO ANDRADE MATOS SOUSA - TESTE","2006-08-02",35,"N"
108642,"MEIREANE FREITAS PEREIRA - TESTE","2010-09-10",35,"N"
108695,"JULIETA CLEMENT MENEZES SILVA - TESTE","2000-05-22",4,"N"
108772,"MONICA LEITE SANTOS - TESTE","1997-10-23",44,"N"
108553,"ANE MICHEL SILVA - TESTE","2007-09-01",13,"N"
109584,"GENAURO BARBOSA OLIVEIRA TAMIRES - TESTE","2006-06-25",123,"N"
101043,"DIEGO BARRETO PASSOS - TESTE","2007-07-27",13,"N"
113725,"MARCEL DANTAS SANTOS - TESTE","2010-08-15",4,"N"
109691,"ANA ALMEIDA PAULA SOUSA - TESTE","2001-02-04",35,"N"
108764,"NATANAEL MARIA SILVA - TESTE","2004-02-27",4,"N"
128404,"THAYSE DUARTE NASCIMENTO - TESTE","2009-08-05",4,"N"
108747,"JULLIE LEMOS OLIVEIRA - TESTE","2009-01-31",4,"N"
126185,"AMANDA ALVARES CORDEIRO PINHO - TESTE","2008-05-09",13,"N"
108918,"TAMARA CRUZ ROCHA - TESTE","2010-05-26",35,"N"
108916,"JULIANA MENEZES SOUZA - TESTE","2010-06-18",35,"N"
149153,"MARCOS FIRMINIO ROBERTO - TESTE","1990-01-23",4,"N"
108566,"NILMARA JOSE SILVA - TESTE","2010-09-04",35,"N"
108675,"JAQUELINE LIMA","2006-11-27",44,"N"
109056,"JESSICA ALVES LISBOA SILVA - TESTE","2009-10-24",13,"N"
108498,"ELISANGELA MORAES SOUTO - TESTE","1992-11-13",4,"N"
105124,"JESSICA MELLO SILVA - TESTE","2009-12-16",35,"N"
105032,"LUCAS BORGES SANTOS - TESTE","2010-02-28",4,"N"
94380,"CLAUDIA ALBUQUERQUE MENEZES SANTOS - TESTE","2008-02-02",13,"N"
127254,"KELLY BARRETO SANTOS - TESTE","2002-01-14",44,"N"
116359,"LIDIA GOMES MORAES","2010-02-16",35,"N"
104878,"ALAMO GOMES PINHEIRO VIANA - TESTE","2009-07-04",13,"N"
105181,"LAIS CHAVES REBOUCAS - TESTE","2009-02-17",35,"N"
120943,"VITOR ANNA PRADO - TESTE","2003-02-02",13,"N"
114915,"LEONARDO MELLO SANT' - TESTE","2009-09-17",123,"N"
107784,"ALYSSON CARDOSO NEVES","2009-10-07",13,"N"
107479,"RIDNAN CAROLINA NASCIMENTO SANTOS - TESTE","2010-01-01",4,"N"
105272,"JOEL BERNARDO SILVA - TESTE","1998-01-08",44,"N"
115208,"HELLEN MELO","2009-06-22",4,"N"
105034,"NILTON CHAGAS MARCIA - TESTE","2008-11-17",4,"N"
99960,"LUCIANA PASSOS - TESTE","1998-11-20",13,"N"
112482,"CINTIA BARROS ROQUE - TESTE","2008-11-17",44,"N"
112496,"ELIS LIMA SILVA - TESTE","2009-12-26",44,"N"
105050,"GABRIELA OLIVEIRA - TESTE","2009-10-10",4,"N"
137225,"RODRIGO GUIMARAES REIS - TESTE","2009-06-10",4,"N"
112507,"NAIRA ANDRADE JANE RAMOS - TESTE","2008-07-14",44,"N"
112522,"MEIRE CAMPOS MELO SOUZA - TESTE","1989-03-05",44,"N"
106222,"MARCUS MAYARA VINICIUS - TESTE","2009-03-26",123,"N"
112542,"MICHAEL LOPES REIS - TESTE","2003-12-15",35,"N"
125754,"GRAZIELLE ANDRESSA OLIVEIRA SILVEIRA - TESTE","2011-01-15",35,"N"
112585,"CAMILA EDSON PEREIRA SOUZA - TESTE","2011-12-15",35,"N"
137171,"MARCELA ARAUJO MOURA","2010-07-02",4,"N"
152023,"KANYDIA FILIPE OLIVEIRA VIEIRA - TESTE","2010-07-30",35,"N"
112565,"DENESCLEIDE BARBOSA MARIA","1989-03-28",44,"N"
112567,"ISABELA BITENCOURT NOVAES VILAR - TESTE","2009-08-25",44,"N"
112112,"ALFEU CAMPOS GONCALVES OLIVEIRA","1992-05-15",4,"N"
102623,"MARA GEANE PEIXOTO - TESTE","1985-06-15",4,"N"
